label,group,seed_root,run_no,mu,tx_dbm,rri_ms,p_keep,eta,cbr_target,varied_value,varied_numeric,run_path,sim_time_s,ue_count,mcs,mu_readme,tx_readme,pkeep_readme,rri_readme_ms,cam_interval_ms,cbr_mean,cbr_p50,cbr_p95,cbr_n,received_rows_read,rx_events,success_ratio_raw,rx_events_inrange,success_ratio_inrange,max_distance_m,nsr_raw,nsr_inrange,hdr_raw,hdr_inrange,plr_raw,plr_inrange,clr_raw,clr_inrange,latency_mean_ms,latency_p95_ms,latency_p99_ms,all_aoi_mean_ms,all_pir_mean_ms,all_pir_p50_ms,all_pir_p95_ms,all_pir_p99_ms,all_pir_cv,all_blackout_p95_ms,all_n_pairs,all_n_ipg,all_paoi_gt_100ms_ratio,all_aoi_time_above_100ms_ratio,all_paoi_gt_200ms_ratio,all_aoi_time_above_200ms_ratio,all_paoi_gt_500ms_ratio,all_aoi_time_above_500ms_ratio,all_blackout_gt_2rri_ratio,all_blackout_gt_5rri_ratio,all_missed_updates_mean,all_missed_updates_p95,0_250m_n,0_250m_prr,0_250m_nsr,0_250m_hdr,0_250m_plr,0_250m_clr,0_250m_aoi_mean_ms,0_250m_pir_mean_ms,0_250m_pir_p50_ms,0_250m_pir_p95_ms,0_250m_pir_p99_ms,0_250m_pir_cv,0_250m_blackout_p95_ms,0_250m_n_pairs,0_250m_n_ipg,0_250m_paoi_gt_100ms_ratio,0_250m_aoi_time_above_100ms_ratio,0_250m_paoi_gt_200ms_ratio,0_250m_aoi_time_above_200ms_ratio,0_250m_paoi_gt_500ms_ratio,0_250m_aoi_time_above_500ms_ratio,0_250m_blackout_gt_2rri_ratio,0_250m_blackout_gt_5rri_ratio,0_250m_missed_updates_mean,0_250m_missed_updates_p95,250_500m_n,250_500m_prr,250_500m_nsr,250_500m_hdr,250_500m_plr,250_500m_clr,250_500m_aoi_mean_ms,250_500m_pir_mean_ms,250_500m_pir_p50_ms,250_500m_pir_p95_ms,250_500m_pir_p99_ms,250_500m_pir_cv,250_500m_blackout_p95_ms,250_500m_n_pairs,250_500m_n_ipg,250_500m_paoi_gt_100ms_ratio,250_500m_aoi_time_above_100ms_ratio,250_500m_paoi_gt_200ms_ratio,250_500m_aoi_time_above_200ms_ratio,250_500m_paoi_gt_500ms_ratio,250_500m_aoi_time_above_500ms_ratio,250_500m_blackout_gt_2rri_ratio,250_500m_blackout_gt_5rri_ratio,250_500m_missed_updates_mean,250_500m_missed_updates_p95,ssps_rows,rc_mean,rc_p50,rc_p95,ncsr_initial_mean,ncsr_final_mean,ncsr_shrinkage_mean,trigger_0_share,reserv_rows,avg_usr_mean,tx_rate_per_ue_s,counter_resel_rate_per_ue_s
G2_tx17_pK0_CBR50,G2,g2_seed1_20260603_235323,1,0,17,100,0.0,1.0,50,tx17,17.0,/home/lepeshka/morev2x-highway-hpc/morev2x/results/g2_seed1_20260603_235323/G2_tx17_pK0_CBR50/run1,100.0,80.0,13.0,0.0,17.0,0.0,100.0,135.0,0.4388152777777518,0.44,0.51,14400.0,2387947.0,2154503.0,0.9446916527848882,2154503.0,0.9446916527848882,533.225,0.00017405406258427116,0.00017405406258427116,0.005217444580026113,0.005217444580026113,0.047500514039664835,0.047500514039664835,0.0024163345328365752,0.0024163345328365752,51.163563304727596,95.9,100.1,5013.602926276233,243.97278293324712,129.99999999999545,219.99999999999886,399.9999999999986,6.409337951890226,27310.000000000004,6320.0,2029021.0,0.770446436976256,0.5995577403121736,0.16360895229768446,0.43566449755457237,0.006174406277707328,0.4100363435529333,0.16360895229768446,0.006174406277707328,1.4426376070035747,1.0,1315784.0,0.9860326618958735,7.600031616131523e-07,0.00523414177402978,0.00721851002900172,0.0015139262979333994,8228.491711432527,359.31916231761477,120.00000000000455,200.00000000000284,410.0000000000007,6.674002479576082,40800.50000000001,6320.0,1291086.0,0.7624867746997489,0.7282516375844951,0.14055144273890352,0.6219895956978387,0.009722822492072566,0.6101432310623435,0.14055144273890352,0.009722822492072566,2.5969447426430152,1.0,810153.0,0.8840737490325902,0.0003986901239642389,0.005161987920800145,0.1066144296200841,0.003751143302561368,7600.137304430068,384.2864791788461,130.00000000000966,300.0000000000007,4629.999999999999,6.481341204999475,36130.0,4648.0,711584.0,0.78568236497729,0.7455149276412605,0.21424877456491434,0.6318441280266589,0.017060529747717768,0.5943986316287704,0.21424877456491434,0.017060529747717768,2.8442432657282906,2.0,30290.0,2.0531858699240675,1.0,11.0,98.0,73.26318917134368,0.25241643702711064,1.0,7280.0,0.0,0.08288885685454807,0.04643439305396924
G2_tx17_pK0_CBR95,G2,g2_seed1_20260603_235323,1,0,17,100,0.0,1.0,95,tx17,17.0,/home/lepeshka/morev2x-highway-hpc/morev2x/results/g2_seed1_20260603_235323/G2_tx17_pK0_CBR95/run1,100.0,80.0,13.0,0.0,17.0,0.0,100.0,100.0,0.9009416666666558,0.91,0.96,14400.0,6440238.0,5811639.0,0.930440104762185,5811639.0,0.930440104762185,533.224,0.00015967956715824916,0.00015967956715824916,0.017239714992620843,0.017239714992620843,0.0469129276611985,0.0469129276611985,0.005247573016837419,0.005247573016837419,56.890729709666026,96.60000000000001,100.4,4962.557197611942,99.5380356293262,59.99999999998806,130.00000000000256,190.00000000000483,10.055249434680267,27250.0,6320.0,4975059.0,0.15164443275949088,0.4594716438116055,0.008764117169263721,0.41804354375821373,0.0019832930624541336,0.4080962812363946,0.008764117169263721,0.0019832930624541336,0.4425806809527284,0.0,3549880.0,0.9724308990726447,5.633993261744059e-07,0.01687550001690198,0.007078830833718323,0.003614206677408814,8143.633762756511,146.60442954404982,49.999999999998934,129.99999999999545,160.0000000000001,10.464270972712693,40741.00000000001,6320.0,3169491.0,0.1374580334823478,0.6386086884510447,0.005065482123154791,0.6167607157917264,0.0039747707123951445,0.6082570831897341,0.005065482123154791,0.0039747707123951445,0.9211365484237058,0.0,2184698.0,0.8687704204425508,0.0003712183560382259,0.017805664673103558,0.10544523773995307,0.007607458788354272,7532.093433985974,156.7038558117453,60.000000000002274,149.99999999999858,280.00000000000114,10.173066794197048,36034.99999999999,4651.0,1748270.0,0.1793567355156812,0.6474325418632202,0.021431472255429653,0.6076020041564363,0.005670176803354173,0.5909001164948324,0.021431472255429653,0.005670176803354173,1.0005090746852603,0.0,79462.0,1.8170697943671188,1.0,9.0,98.0,29.274193954342955,0.7012837351596343,1.0,7280.0,0.0,0.2221044570718281,0.1229135221521797
G2_tx17_pK4_CBR50,G2,g2_seed1_20260603_235323,1,0,17,100,0.4,1.6666666666666667,50,tx17,17.0,/home/lepeshka/morev2x-highway-hpc/morev2x/results/g2_seed1_20260603_235323/G2_tx17_pK4_CBR50/run1,100.0,80.0,13.0,0.0,17.0,0.4,100.0,135.0,0.4630409722222041,0.46,0.53,14400.0,2387699.0,2154363.0,0.9467053602387342,2154363.0,0.9467053602387342,533.227,0.00016246101515854106,0.00016246101515854106,0.003677189034531321,0.003677189034531321,0.04762614285521985,0.04762614285521985,0.001828846856356148,0.001828846856356148,50.116330538205965,95.4,99.9,5015.740177182535,243.46151708589352,100.00000000000853,200.00000000000284,399.99999999999864,6.41763499382989,27320.0,6320.0,2033227.0,0.7364652348212964,0.5911119057935765,0.22022479536224926,0.43416503012560104,0.006004248418892725,0.41043791356150117,0.22022479536224926,0.006004248418892725,1.4339328564887246,1.0,1315848.0,0.9881931651680134,1.5199323934071413e-06,0.0035976799751947035,0.007080605054687167,0.0011270298697113952,8233.873441771286,358.5615057898349,100.00000000000853,200.00000000000284,439.9999999999977,6.683545211727547,40800.00000000001,6320.0,1293992.0,0.725890113694675,0.7224005385454222,0.19890849402469257,0.6212566467917761,0.009837000537870405,0.6104916438299832,0.19890849402469257,0.009837000537870405,2.5846411724338325,1.0,809960.0,0.8857313941429207,0.00037038866116845276,0.0037927798903649563,0.10727443330534842,0.0028310040001975406,7605.538080723342,383.4382313161868,100.00000000000853,300.0000000000007,4514.499999999528,6.491288973074664,36167.0,4647.0,712756.0,0.7568396477897065,0.7403277156538708,0.2664979319711093,0.6304930626982498,0.016434796760742807,0.5945129472271833,0.2664979319711093,0.016434796760742807,2.8342616547598336,2.0,7799.0,3.892165662264393,1.0,14.0,98.0,53.38581869470445,0.4552467480131988,1.0,7280.0,0.0,0.0826125526724329,0.010257263251275227
G2_tx17_pK4_CBR95,G2,g2_seed1_20260603_235323,1,0,17,100,0.4,1.6666666666666667,95,tx17,17.0,/home/lepeshka/morev2x-highway-hpc/morev2x/results/g2_seed1_20260603_235323/G2_tx17_pK4_CBR95/run1,100.0,80.0,13.0,0.0,17.0,0.4,100.0,100.0,0.8958791666666474,0.9,0.94,14400.0,6441168.0,5812470.0,0.9360368311578382,5812470.0,0.9360368311578382,533.223,0.00015759221122861708,0.00015759221122861708,0.011981137106944208,0.011981137106944208,0.04656557367177809,0.04656557367177809,0.00525886585221085,0.00525886585221085,53.622335602372246,96.5,100.3,4958.254660755132,98.42018242223565,70.00000000000028,100.00000000000853,189.99999999999773,10.108356924339564,27240.000000000004,6320.0,5032062.0,0.08926698438930204,0.437278455691421,0.007200825427031702,0.41692542485967776,0.001923863418217025,0.4081237627874657,0.007200825427031702,0.001923863418217025,0.4287139148921456,0.0,3550419.0,0.9824212297196472,1.1266275895887217e-06,0.007859354064970923,0.0069467857174040585,0.0027715038703882556,8136.464855852733,144.2838412352373,70.00000000000028,100.00000000000142,140.00000000000057,10.543913737795686,40711.00000000001,6320.0,3220110.0,0.07022648294623475,0.6233750882245628,0.00445823279328967,0.6162179001632854,0.003893345258391794,0.6079827323502232,0.00445823279328967,0.003893345258391794,0.8969501041889874,0.0,2184872.0,0.8676796626987759,0.00036249263114727085,0.018358054842572014,0.10470636266106206,0.008893427166442702,7524.486217950098,156.21151544170456,70.00000000000028,129.99999999999545,280.00000000000114,10.184688189938882,36035.0,4651.0,1754340.0,0.1269269354857097,0.633528470603209,0.01840407218669129,0.6061961894209014,0.005599256700525554,0.5909522966606119,0.01840407218669129,0.005599256700525554,0.989471824161793,0.0,13748.0,3.7974978178644165,1.0,14.0,98.0,24.083503054989816,0.7542499688266037,1.0,7280.0,0.0,0.22166613030306395,0.02413636212311209
G2_tx17_pK8_CBR50,G2,g2_seed1_20260603_235323,1,0,17,100,0.8,5.000000000000001,50,tx17,17.0,/home/lepeshka/morev2x-highway-hpc/morev2x/results/g2_seed1_20260603_235323/G2_tx17_pK8_CBR50/run1,100.0,80.0,13.0,0.0,17.0,0.8,100.0,135.0,0.4644638888888638,0.47,0.53,14400.0,2387787.0,2154489.0,0.9468272987237345,2154489.0,0.9468272987237345,533.221,0.00014063659642727348,0.00014063659642727348,0.003439330625498668,0.003439330625498668,0.04780112592823635,0.04780112592823635,0.0017916081261032198,0.0017916081261032198,50.15259580122923,95.60000000000001,100.0,5016.198714780967,243.40636277671862,100.00000000000142,200.00000000000284,399.9999999999986,6.418696152186706,27310.000000000004,6320.0,2033609.0,0.7298246614762228,0.5896217559439231,0.2320455898847812,0.43399811597476545,0.0058285540632442125,0.41056301420764485,0.2320455898847812,0.0058285540632442125,1.4337284109187165,1.0,1315825.0,0.9884954306233732,0.0,0.0032884312123572664,0.007189405886041077,0.0010267322782284878,8229.814228038664,358.48050823298183,100.00000000000142,200.00000000000284,400.0000000000057,6.682960587069405,40830.5,6320.0,1294367.0,0.7173838640818253,0.7213704049181848,0.21199551595490304,0.6211870535800299,0.00977543463329952,0.6105948263440244,0.21199551595490304,0.00977543463329952,2.5845150563943613,1.0,810090.0,0.8856929476971694,0.0003123109777925909,0.0036773691812020887,0.10739670900764113,0.002920663136194744,7600.024430249604,383.24464115369506,100.00000000000853,300.0000000000007,4450.0,6.492102916830245,36156.5,4650.0,712840.0,0.7534425677571405,0.7393356638301157,0.2760002244542955,0.6302666281248019,0.016100387183659727,0.5945098121611199,0.2760002244542955,0.016100387183659727,2.8320071825374558,2.0,3181.0,5.20308079220371,1.0,14.0,98.0,49.6762024520591,0.49309997497898844,1.0,7280.0,0.0,0.08205901595715188,0.005544528105212965
G2_tx17_pK8_CBR95,G2,g2_seed1_20260603_235323,1,0,17,100,0.8,5.000000000000001,95,tx17,17.0,/home/lepeshka/morev2x-highway-hpc/morev2x/results/g2_seed1_20260603_235323/G2_tx17_pK8_CBR95/run1,100.0,80.0,13.0,0.0,17.0,0.8,100.0,100.0,0.8863326388888583,0.89,0.93,14400.0,6440835.0,5811952.0,0.9352632299784995,5811952.0,0.9352632299784995,533.227,0.00015158418376476612,0.00015158418376476612,0.012447625169650403,0.012447625169650403,0.04679408914595303,0.04679408914595303,0.005343471522132323,0.005343471522132323,53.13752953833214,96.4,100.4,4959.725038052385,99.469884929288,70.00000000000028,100.00000000000142,189.99999999999773,10.056028091065395,27230.000000000004,6320.0,4978504.0,0.08749596264259303,0.4335428627808554,0.006935818470769533,0.41684727983344155,0.001890929484037775,0.40842554011599336,0.006935818470769533,0.001890929484037775,0.43180160144493207,0.0,3549612.0,0.9812109041776961,0.0,0.00879589093117783,0.007098522317368771,0.002894682573757357,8142.803265019386,145.4864622291984,70.00000000000028,100.00000000000142,109.99999999999943,10.504486681399683,40750.0,6320.0,3194359.0,0.06601418312719391,0.6210460050662313,0.004444710190683014,0.6163131028436166,0.003913774250170378,0.6081130277859479,0.004444710190683014,0.003913774250170378,0.9031358090934676,0.0,2185230.0,0.8675494112747857,0.00034824709527143596,0.018170169730417393,0.1050653706932451,0.008866801206280346,7530.374147631042,158.6334310578798,70.00000000000739,100.00000000000853,280.00000000000114,10.110645046195756,36035.5,4650.0,1727304.0,0.12990127968209417,0.6310251855273216,0.0178683080685276,0.606108555307258,0.0055514258057643585,0.591459502519925,0.0178683080685276,0.0055514258057643585,1.003188784371483,0.0,3090.0,5.185113268608414,1.0,14.0,98.0,24.58252427184466,0.749157915593427,1.0,7280.0,0.0,0.2218171527500333,0.0033293381275802366
G2_tx20_pK0_CBR50,G2,g2_seed1_20260603_235323,1,0,20,100,0.0,1.0,50,tx20,20.0,/home/lepeshka/morev2x-highway-hpc/morev2x/results/g2_seed1_20260603_235323/G2_tx20_pK0_CBR50/run1,100.0,80.0,13.0,0.0,20.0,0.0,100.0,135.0,0.4596923611110825,0.46,0.52,14400.0,2388264.0,2154986.0,0.9719306761157613,2154986.0,0.9719306761157613,533.223,1.856160550462973e-05,1.856160550462973e-05,0.005136460283268662,0.005136460283268662,0.020385283245459598,0.020385283245459598,0.0025290187500058006,0.0025290187500058006,51.022925122465246,96.0,100.0,5007.743363267431,237.11363548204966,129.99999999999545,209.99999999999375,310.0000000000023,6.4998706883957125,27300.000000000004,6320.0,2088177.0,0.7646775153638796,0.5881266500037444,0.1494614680652071,0.425042378320719,0.004622692425019527,0.40880465304792285,0.1494614680652071,0.004622692425019527,1.3740286383769191,1.0,1316036.0,0.9912532787856867,0.0,0.005067490554969621,0.002176232261123556,0.0015029983982201094,8223.525456080553,357.4589837506403,120.00000000000455,200.00000000000284,380.0000000000007,6.690110315180463,40850.5,6320.0,1298205.0,0.7598075804668755,0.7268432856585287,0.1407289295604315,0.6209117349528194,0.009637923132325019,0.6100299007634956,0.1407289295604315,0.009637923132325019,2.5776044615449796,1.0,810338.0,0.9438999528591773,4.68940121282724e-05,0.005271874205578413,0.04676443656844428,0.004016842354671754,7592.432581674124,359.8334707922765,129.99999999999545,240.000000000002,3129.9999999999955,6.698734500733911,36120.00000000001,4647.0,760227.0,0.7741516678571005,0.7285017366883866,0.17509243949504555,0.6156493799129038,0.012806701156365138,0.5921899396362971,0.17509243949504555,0.012806701156365138,2.60109809306957,1.0,30315.0,2.0485898070262247,1.0,11.0,98.0,73.20986310407389,0.2529605805706779,1.0,7280.0,0.0,0.08313934153641504,0.04600376898348299
G2_tx20_pK0_CBR95,G2,g2_seed1_20260603_235323,1,0,20,100,0.0,1.0,95,tx20,20.0,/home/lepeshka/morev2x-highway-hpc/morev2x/results/g2_seed1_20260603_235323/G2_tx20_pK0_CBR95/run1,100.0,80.0,13.0,0.0,20.0,0.0,100.0,100.0,0.9332173611110872,0.94,0.97,14400.0,6440215.0,5812065.0,0.9568125958673896,5812065.0,0.9568125958673896,533.222,1.9786427027226984e-05,1.9786427027226984e-05,0.01759598352736936,0.01759598352736936,0.020072383911742212,0.020072383911742212,0.0054992502664715556,0.0054992502664715556,57.090792721378925,97.0,100.3,4959.925192619394,96.93224891088667,50.00000000000426,129.99999999999545,169.9999999999875,10.188112710337624,27240.000000000004,6320.0,5109202.0,0.14267492262000994,0.4497281191965761,0.0047120861535715364,0.41502408376726546,0.0018419706247668423,0.40779513730578254,0.0047120861535715364,0.0018419706247668423,0.42065042642667094,0.0,3550134.0,0.9767482016171783,0.0,0.017400469954091873,0.0021556932780565467,0.003695635150673186,8139.283775681307,146.08845898036495,49.999999999998934,120.00000000000455,159.9999999999966,10.481432051204727,40699.99999999999,6320.0,3181452.0,0.13527533968766461,0.6377530582536325,0.004654478521128089,0.6167021341280661,0.003971457057972271,0.6082770826266269,0.004654478521128089,0.003971457057972271,0.9166911837739498,0.0,2184804.0,0.9279907945975931,4.39398682902448e-05,0.017912361932695107,0.045971171784745905,0.008081731816675547,7522.305692363802,147.16234742958898,59.99999999999517,130.00000000000966,200.00000000000284,10.497189778067117,36000.0,4651.0,1862173.0,0.15842996327408893,0.6325673004204652,0.011153636101479293,0.6027495445493251,0.005106936895766398,0.5902972083633242,0.011153636101479293,0.005106936895766398,0.9153381560145056,0.0,79482.0,1.8184494602551522,1.0,9.0,98.0,28.672202511260412,0.7074265049869838,1.0,7280.0,0.0,0.2218294618381186,0.12180504533700322
